smiles,score
CN1CCCC1=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],-10.6
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5ccccc5)cc4)n3)cc2)cc1,-10.4
O=S(=O)(c1ccc(Cl)c2ccccc12)N1CCCN(S(=O)(=O)c2ccc(Cl)c3ccccc23)CC1,-10.4
C(=Nn1cnnc1)c1c(-c2ccccc2)n(-c2ccccc2)c2ccccc12,-10.1
O=C(Nc1ncccn1)C(c1ccccc1)c1ccccc1,-10.0
O=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,-10.0
c1cc2ccc3cccc4ccc(c1)c2c34,-9.9
O=C1NC(=O)N2CCN(C(=O)COc3ccc4ccccc4c3)CC12,-9.9
N#Cc1c(NC(=O)COC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)sc2c1CCCCC2,-9.9
O=C1OCCN1c1ccc(NC(=O)C(O)(c2ccccc2)c2ccccc2)cc1,-9.8
O=c1c2ccccc2nc(C=Cc2csnn2)n1-c1ccccc1,-9.8
C(=Nn1cnnc1)c1ccc(OC2OCCOC2Oc2ccc(C=Nn3cnnc3)cc2)cc1,-9.8
O=C(CSc1nc(C2CCCO2)n[nH]1)Nc1ccc2ccccc2c1,-9.8
O=C(CN1C(=O)NC2(CCCCC2)C1=O)OCc1nnc(-c2ccccc2)o1,-9.8
O=C(CSc1nc(C2CCCO2)n[nH]1)NC(c1ccccc1)c1ccccc1,-9.7
Clc1ccccc1-c1ccc(C=NN=Cc2ccc(-c3ccccc3Cl)o2)o1,-9.7
N#CCn1c(COC(=O)CCC(=O)c2ccc3c(c2)CCCC3)nc2sc3c(c2c1=O)CCCC3,-9.7
CC(NC(c1ccccc1)c1ccccc1)C(=O)Nc1ncccn1,-9.7
CC1c2ccccc2OC1C(=O)N1CCN2C(=O)NC(=O)C2C1,-9.6
CC(NC(=O)COc1ccc2c(c1)OC(C)(C)CC2=O)c1ccc2ccccc2c1,-9.6
CC1(c2ccccc2)CCN(C(=O)Cn2cc(CO)nn2)CC1,-9.6
O=C(CSc1nc(C2CCCO2)n[nH]1)Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1,-9.6
CC1(c2ccc(C#N)cc2)NC(=O)N(Cc2cccc3c2OCCO3)C1=O,-9.6
O=C(C(=NN=Cc1ccc([N+](=O)[O-])o1)c1ccccc1)c1ccccc1,-9.6
O=C(CSc1nc(C2CCCO2)n[nH]1)N1CCC(Cc2ccccc2)CC1,-9.6
O=C(CN1C(=O)NC2(CCCCC2)C1=O)OCC(=O)c1ccc2c(c1)CCCC2,-9.6
O=C(c1ccccc1)c1ccccc1C(=O)c1ccccc1,-9.5
