smiles,score
FC(F)(F)c1cccc(N=Nc2c3oc4ccccc4cc-3c3ccccc23)c1,-10.5
Fc1ccc(NN=Cc2c3ccccc3cc3ccccc23)c(F)c1,-10.5
Fc1ccc(NN=Cc2c3oc4ccccc4cc-3c3ccccc23)c(F)c1,-10.4
FC(F)Oc1ccccc1N=Cc1c2ccccc2cc2ccccc12,-10.2
FC(F)(F)Sc1ccc(N=Cc2c3ccccc3cc3ccccc23)cc1,-10.2
FC(F)(F)c1ccccc1NN=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,-10.1
FC(F)(F)c1ccc(Cl)c(NN=CC(c2ccccc2)c2ccccc2)c1,-9.8
FC(F)(F)c1nc(-c2ccc(-c3nc(-c4cnccn4)no3)cc2)no1,-9.8
Fc1c(F)c(F)c(C=NNc2ncnc3sc4c(c23)CCC4)c(F)c1F,-9.7
FC(F)(F)c1ccc(Cl)c(NN=Cc2cccc3ccccc23)c1,-9.7
Fc1ccc(Cc2noc(CSc3nnc(-c4ccncc4)o3)n2)cc1,-9.7
c1coc(-c2nnc(CCNc3ncnc4c3oc3ccccc34)[nH]2)c1,-9.5
Fc1ccc(C=Cc2nnc(SCc3coc(-c4ccccc4)n3)[nH]2)cc1,-9.4
Nc1nc(CSc2nnc(-c3ccncc3)o2)nc(Nc2ccccc2)n1,-9.4
c1ccc(-c2noc(CNc3ncnc4c3oc3ccccc34)n2)nc1,-9.4
Fc1ccc(-c2noc(CSc3nnc(Cc4ccccc4)o3)n2)cc1,-9.3
FC(F)Oc1ccccc1C=Nc1ccccc1-c1ccccc1,-9.3
FC(F)(F)c1nc(SCCCc2nc(-c3ccncc3)no2)c2ccccc2n1,-9.2
FC(F)(F)c1ccccc1NN=C1CCc2ccccc21,-9.2
c1ccc(-c2nc(CSc3n[nH]c(-c4ccccn4)n3)no2)cc1,-9.2
Nc1nsc(N2CCN(c3nc(C4CC4)nc4sc5c(c34)CCCC5)CC2)n1,-9.2
FC(F)(F)c1ccccc1NN=C1CCCc2ccccc21,-9.2
Fc1ccc(C=Cc2nnc(SCc3cccc4cccnc34)[nH]2)cc1,-9.2
O=C(NC1CCC2(CCCCC2)CC1)C1CCN(C(=O)N2CCCC2)CC1,-9.2
FC(F)(F)c1ccc(Cl)c(NN=Cc2ccc(-c3ccccc3)cc2)c1,-9.2
