smiles,score
CC1(C)[C@@H]2CC[C@]13CS(=O)(=O)N(C(=O)CCc1ccncc1)[C@@H]3C2,-12.6
O=c1[nH][nH]c(=O)c2c(N=Cc3c4ccccc4cc4ccccc34)cccc12,-11.9
O=C(O)c1ccc(-n2c(C=Cc3ccc4ccccc4c3)nc3ccccc3c2=O)cc1,-11.7
O=C(CCC(=O)c1ccc2ccc3cccc4ccc1c2c34)Nc1ccccc1Cn1cncn1,-11.6
O=c1[nH]c2sc3c(c2c2nc(-c4cc(-c5ccccc5)nc5ccccc45)nn12)CCCC3,-11.6
c1ccc(-c2nc(Oc3ccc4ccccc4c3)c3ccccc3n2)cc1,-11.5
O=C(OCCN1C(=O)c2ccccc2C1=O)c1ccc2c(c1Cl)C(=O)c1ccccc1C2=O,-11.5
Cc1c(-c2cc(-c3ccc(Cl)cc3)nc3ccccc23)oc2ccc(F)cc2c1=O,-11.4
O=[N+]([O-])c1cc(-c2nc3ccccc3c3nc4ccccc4n23)c(N2CCCCC2)c([N+](=O)[O-])c1,-11.3
NC1=Nc2nc3cc4c(cc3n2C2(CCC(c3ccccc3)CC2)N1)OCCCO4,-11.3
O=c1cc(-c2ccccc2)c2ccc(OCc3cc([N+](=O)[O-])cc4c3OCOC4)cc2o1,-11.3
O=c1oc2ccc3ccccc3c2cc1-c1csc(-c2nc(-c3ccc(-c4ccccc4)cc3)cs2)n1,-11.2
O=C(NN=Cc1c2ccccc2cc2ccccc12)c1n[nH]c(=O)c2ccccc12,-11.2
O=C1c2ccccc2C(=O)N1N=Cc1c2ccccc2cc2ccccc12,-11.1
O=C1c2ccccc2-c2nn(C(=O)c3ccc(F)cc3)c3cccc1c23,-11.1
O=C(NN=Cc1c(-c2ccccc2)[nH]c2ccccc12)c1nn(Cc2ccccc2)c(=O)c2ccccc12,-11.1
O=C(OCc1cc(=O)oc2ccc3ccccc3c12)c1cc(-c2ccccc2)nc2ccccc12,-11.1
O=C1c2ccccc2-c2nn(C(=O)c3cccc(F)c3)c3cccc1c23,-11.1
O=C(CCC(=O)c1ccc2ccc3cccc4ccc1c2c34)NCc1ccccn1,-11.0
O=C(Nc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1-c1ccccc1)c1ccccc1,-11.0
O=c1[nH]c2ccc(Cl)cc2c(-c2ccccc2)c1-c1cc(-c2ccccc2)c2cc(Cl)ccc2n1,-11.0
O=[N+]([O-])c1ccc(Cc2cc[n+](-c3nc4ccccc4nc3[N-]S(=O)(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1,-11.0
O=C(Nc1ccccc1-c1cc(-c2ccccc2)c2cc(Cl)ccc2n1)c1ccco1,-11.0
O=C(N=C1c2ccccc2CN1c1ccc(N2CCCC2)c(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c1)c1ccc(F)cc1,-10.9
Cc1oc2c(c(C)cc3oc(=O)c4c(c32)CCCC4)c1-c1ccccc1,-10.9
O=C(Oc1cc(-c2cccc(C(F)(F)F)c2)c2oc(=O)sc2c1)c1ccc(Cl)c(Cl)c1,-10.9
Cc1cccc(C2OC3(C(=O)c4ccccc4C3=O)C3C(=O)N(c4cccc5ccccc45)C(=O)C23)c1,-10.9
N#Cc1c(NC(=O)CN2c3cccc4cccc(c34)S2(=O)=O)oc(-c2ccccc2)c1-c1ccccc1,-10.9
O=C1N=C(c2ccccc2)NC(=O)C1C(c1ccc(Cl)cc1)C1C(=O)N=C(c2ccccc2)NC1=O,-10.9
