smiles,score
CCN1CCN(C(=O)c2cc(C(C)C)[nH]n2)CC1c1nccn1C,6.2
Cn1nc(CC(=O)N2CCC[C@@H]2C(=O)O)c2ccccc2c1=O,7.9
O=C(NC[C@H]1CCO[C@H]1C(=O)O)c1ccncc1Cl,6.9
CC(C)(C(=O)O)n1cc(NC(=O)c2ccn(-c3ccccc3)n2)cn1,8.2
CO[C@@H]1C[C@@H](c2ncn[nH]2)N(C(=O)c2cc3ccc(C)cc3[nH]2)C1,7.6
Cc1cccn2c(=O)cc(CN3CCC(n4ccnc4)CC3)nc12,7.6
Cc1cccc(OCCCC(=O)N2CCCC(c3ccn[nH]3)C2)c1,8.2
CO[C@@H]1C[C@@H](CO)N(C(=O)NCc2ccc(CN)cc2F)C1,7.1
Cn1nnc2cc(C(=O)N3CCNC(=O)C3CC3CCCCC3)cnc21,8.1
CNc1cnc(C(=O)N2CCCC2(C)Cc2ccccc2)cn1,8.2
COc1ccccc1-c1ccc(CN2CCCC(O)(CC(N)=O)C2)cc1,8.4
NC(=O)c1cc(NC(=O)c2cnn(-c3ccc(F)cc3)c2-n2cccc2)c[nH]1,8.3
Cc1occc1C(=O)N1CCOC(Cn2ccnn2)C1,7.2
O=C(O)C1CCCN1C(=O)C1CCOc2ccccc21,7.5
Cc1c(C(F)(F)F)n[nH]c1C(=O)NC1CCNC12CCC2,7.4
N#CC1(CC(=O)N[C@@H]2Cc3ccccc3O[C@H]2C(F)(F)F)CC1,7.3
CCOc1ccc2c(c1)C(NC(=O)C1(CO)CCCO1)CCO2,7.0
CS(=O)(=O)Nc1ccccc1C(=O)N1CCCOC(c2ccccc2)C1,7.5
CCc1nc2n(n1)CCCC2NS(=O)(=O)c1ccnn1C,7.1
O=C(O)CCN(C(=O)c1ccc(Cl)c(N2CCNC2=O)c1)C1CCOCC1,8.0
O=C(O)c1ccc(S(=O)(=O)NCC(=O)N2C3CCC2c2ccccc23)cc1,9.0
Cn1cc(S(=O)(=O)NC2CCC(=O)NC23CCC3)cn1,7.2
CCn1cc(O[C@@H]2CN(c3ccnc4c3cnn4C)C[C@H]2O)cn1,7.0
CCc1ocnc1C(=O)N[C@H]1CC[C@@H](Cc2nnc(C)o2)C1,7.6
Cc1ncoc1CNS(=O)(=O)N1CCCOCC1,6.3
O=C(N1CCN(C2CCNC2)CC1)C1(Cc2ccc(Cl)cc2)CCCC1,8.0
COC[C@H](O)CNCc1cnn(C2CCCC2)c1-c1ccccc1,8.0
Cc1noc(CN2CCCCC(NC(=O)NCc3ccc(Cl)s3)C2=O)n1,7.6
N#Cc1cnc(N[C@H]2C[C@@H](O)[C@@H]2n2cccn2)c(Cl)c1,7.5
Cc1cc(C)nc(-n2cc(C(=O)N3CCCC(CC(N)=O)C3)c(C(C)C)n2)n1,7.7
Cc1cc(CNC(=O)NC2c3ccccc3CC23CCOCC3)cc(C)n1,9.2
COCCn1cc(CNC(=O)N2CCCN(C(=O)C3CC3)CC2)cn1,6.9
Cc1n[nH]c(CC(=O)NC2(c3noc(C)n3)CCCCC2)n1,7.7
Cn1nc(C(=O)Nc2ccc(CC(=O)O)cc2)cc1C1CC1,7.7
CO[C@@H]1CN(Cc2cc(C#N)n(C)c2)C[C@H]1c1cn(C)nn1,6.3
Cn1nccc1C1CCCCN1C(=O)CCNC(N)=O,7.8
O=C(CCn1cncn1)NCc1cccc(C(=O)O)c1,8.6
CCn1nc(C2CC2)cc1C(=O)N1CC(=O)Nc2c(F)cccc21,8.9
N[C@@H]1C[C@@H]2CC(C(=O)N3CCc4cccc(C(F)(F)F)c4C3)C[C@@H]21,9.3
O=C(NCc1ccc(C(F)F)cc1)N1CCCCC1c1nnc([C@H]2CCCO2)o1,9.3
Cc1ccc(C(=O)Nc2cc(Cl)cc(C(=O)O)c2)o1,7.4
COCc1cc(C(=O)N(C)C2CCNCC2)ccc1F,7.0
Cc1ccccc1C1CCCN1C(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,8.4
N#Cc1ccc(N2CCN(C(=O)Nc3nc(C4CC4)cs3)CC2)nc1,7.9
Cc1ccc(C)c(S(=O)(=O)N[C@@H]2CC[C@H](C(=O)O)C2)c1,7.7
N#Cc1ccc(N2CCC(NCc3nnc4n3CCCC4)C2=O)cc1,9.5
O=C(NCC1(c2cccc(OC(F)(F)F)c2)CCC1)C1CCc2cncn2C1,9.3
Cn1ccnc1CN1CCN(C(=O)CCOC2CCOCC2)CC1,6.4
Cc1nn(C)c2nc(C3CC3)cc(C(=O)N3CCC(c4nc(=O)[nH][nH]4)CC3)c12,8.9
Cc1nn(C)cc1C(=O)N[C@@H]1CC(=O)N(C2CC2)[C@H]1c1cccnc1,6.9
CN1C(=O)CN(Cc2nc(C3(c4ccc(C(F)(F)F)cc4)CCC3)no2)C1=O,9.3
COC(C)c1noc(CN(C)C(=O)NC2CCCN(c3cc(C)nn3C)C2)n1,6.7
COc1ccc(NC(=O)CN2CCCCCCC2=O)cc1-n1nnnc1C,8.2
Cc1cc(C(=O)N2CCOCC2c2noc(C)n2)c2ccccc2n1,8.2
CN1C(=O)C[C@@H](NC(=O)COc2ccccc2F)[C@@H]1c1cccnc1,8.0
COC1CC(c2nc(C)no2)N(C(=O)c2ccc3[nH]nnc3c2)C1,8.3
Cn1cncc1C(=O)NC(C)(CO)c1cccc(C(F)(F)F)c1,7.7
CCCCn1ncc(NC(=O)N2Cc3ccccc3OCC2C)c1C,6.8
